00000000 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 00000000 XF800000
0000001E 01011101101101100110000111100010 5DB661E2 4EBB6CC3
0000001E 01000100100100110011110000111100 BB6CC3C4 CE892678
0000001E 01110110110110011000011110001000 76D98788 4EEDB30F
0000001C 00010010010011001111000011110000 EDB30F10 CD926787
0000001D 00100100100110011110000111100000 DB661E20 CE126787
0000001E 01001001001100111100001111000000 B6CC3C40 CE926787
0000001E 01101101100110000111100010000001 6D987881 4EDB30F1
0000001D 00100100110011110000111011111101 DB30F103 CE133C3B
0000001E 01001001100111100001110111111010 B661E206 CE933C3B
0000001E 01101100110000111100010000001101 6CC3C40D 4ED98788
0000001D 00100110011110000111011111100101 D987881B CE19E1DF
0000001E 01001100111100001110111111001001 B30F1037 CE99E1DF
0000001E 01100110000111100010000001101111 661E206F 4ECC3C40
0000001D 00110011110000111011111100100010 CC3C40DE CE4F0EFC
0000001E 01100111100001110111111001000011 987881BD CECF0EFC
0000001D 00110000111100010000001101111011 30F1037B 4E43C40D
0000001E 01100001111000100000011011110111 61E206F7 4EC3C40D
0000001D 00111100001110111111001000010001 C3C40DEF CE70EFC8
0000001E 01111000011101111110010000100001 87881BDF CEF0EFC8
0000001B 00001111000100000011011110111111 0F1037BF 4D71037B
0000001C 00011110001000000110111101111110 1E206F7E 4DF1037B
0000001D 00111100010000001101111011111100 3C40DEFC 4E71037B
0000001E 01111000100000011011110111111000 7881BDF8 4EF1037B
0000001B 00001110111111001000010000010000 F1037BF0 CD6FC841
0000001C 00011101111110010000100000011111 E206F7E1 CDEFC840
0000001D 00111011111100100001000000111110 C40DEFC2 CE6FC840
0000001E 01110111111001000010000001111100 881BDF84 CEEFC840
0000001C 00010000001101111011111100001001 1037BF09 4D81BDF8
0000001D 00100000011011110111111000010010 206F7E12 4E01BDF8
0000001E 01000000110111101111110000100100 40DEFC24 4E81BDF8
0000001E 01111110010000100000011110111000 81BDF848 CEFC840F
00000019 00000011011110111111000010010000 037BF090 4C5EFC24
0000001A 00000110111101111110000100100001 06F7E121 4CDEFC24
0000001B 00001101111011111100001001000010 0DEFC242 4D5EFC24
0000001C 00011011110111111000010010000100 1BDF8484 4DDEFC24
